Effective Date,Tariff,PDF,Replace,Old PDF
"July 1, 2020", CER 34,https://www.enbridge.com//~/media/Enb/Documents/Tariffs/2020/BAK CAN CER 34.pdf,CER 32,https://www.enbridge.com//~/media/Enb/Documents/Tariffs/2019/BAK CAN CER 32.pdf
"July 1, 2020", CER 35,https://www.enbridge.com//~/media/Enb/Documents/Tariffs/2020/BAK CAN CER 35 FERC 3110 BAK US.pdf,CER 33,https://www.enbridge.com//~/media/Enb/Documents/Tariffs/2019/BAK CAN CER 33 FERC 3100 BAK US.pdf
"January 1, 2020", CER 32,https://www.enbridge.com//~/media/Enb/Documents/Tariffs/2019/BAK CAN CER 32.pdf,NEB 30,https://www.enbridge.com//~/media/Enb/Documents/Tariffs/2019/BAK CAN NEB 30.pdf
"January 1, 2020", CER 33,https://www.enbridge.com//~/media/Enb/Documents/Tariffs/2019/BAK CAN CER 33 FERC 3100 BAK US.pdf,NEB 31,https://www.enbridge.com//~/media/Enb/Documents/Tariffs/2019/BAK CAN NEB 31 FERC 390 BAK US.pdf

"July 1, 2020", CER 470,https://www.enbridge.com//~/media/Enb/Documents/Tariffs/2020/CDMN CER 470.pdf,CER 466,https://www.enbridge.com//~/media/Enb/Documents/Tariffs/2020/CDMN CER 466.pdf
"July 1, 2020", CER 471,https://www.enbridge.com//~/media/Enb/Documents/Tariffs/2020/CDMN CER 471 FERC 45230 LKH.pdf,CER 467,https://www.enbridge.com//~/media/Enb/Documents/Tariffs/2020/CDMN CER 467 FERC 45220 LKH.pdf
"July 1, 2020", CER 473,https://www.enbridge.com//~/media/Enb/Documents/Tariffs/2020/L9 CER 473 FERC 1160 LKH CDMN.pdf,CER 461,https://www.enbridge.com//~/media/Enb/Documents/Tariffs/2019/L9 CER 461 FERC 1150 LKH CDMN.pdf
"July 1, 2020", CER 474,https://www.enbridge.com//~/media/Enb/Documents/Tariffs/2020/CDMN CER 474 FERC 3220 FSP LKH.pdf,CER 463,https://www.enbridge.com//~/media/Enb/Documents/Tariffs/2020/CDMN CER 463 FERC 3210 FSP LKH.pdf
"July 1, 2020", CER 475,https://www.enbridge.com//~/media/Enb/Documents/Tariffs/2020/CDMN CER 475 FERC 37130 TLD LKH.pdf,NEB 447,https://www.enbridge.com//~/media/Enb/Documents/Tariffs/2019/CDMN NEB 447 FERC 37120 TLD LKH.pdf
"June 1, 2020", CER 466,https://www.enbridge.com//~/media/Enb/Documents/Tariffs/2020/CDMN CER 466.pdf,CER 458,https://www.enbridge.com//~/media/Enb/Documents/Tariffs/2019/CDMN CER 458.pdf
"June 1, 2020", CER 467,https://www.enbridge.com//~/media/Enb/Documents/Tariffs/2020/CDMN CER 467 FERC 45220 LKH.pdf,CER 460,https://www.enbridge.com//~/media/Enb/Documents/Tariffs/2019/CDMN CER 460 FERC 45210 LKH.pdf
"January 1, 2020", CER 461,https://www.enbridge.com//~/media/Enb/Documents/Tariffs/2019/L9 CER 461 FERC 1150 LKH CDMN.pdf,CER 457,https://www.enbridge.com//~/media/Enb/Documents/Tariffs/2019/L9 CER 457 FERC 1140 LKH CDMN.pdf
